metric,value,unit,year,region,type,source_url
Global social media user identities,5.79,billion,2026,Global,MEASURED,https://datareportal.com/reports/digital-2026-global-overview-report
Social media penetration of population,69.9,percent,2026,Global,MEASURED,https://datareportal.com/reports/digital-2026-global-overview-report
Annual growth in social media users,5.4,percent,2026,Global,MEASURED,https://datareportal.com/reports/digital-2026-global-overview-report
Daily time spent on social media,141,minutes,2026,Global,MEASURED,https://datareportal.com/reports/digital-2026-global-overview-report
Daily time spent on social media,143,minutes,2024,Global,MEASURED,https://datareportal.com/reports/digital-2026-global-overview-report
Instagram daily time per user (Android),73,minutes,2026,Global,MEASURED,https://datareportal.com/reports/digital-2026-global-overview-report
TikTok daily time per user (Android),97,minutes,2026,Global,MEASURED,https://datareportal.com/reports/digital-2026-global-overview-report
Facebook daily time per user (Android),67,minutes,2026,Global,MEASURED,https://datareportal.com/reports/digital-2026-global-overview-report
Mobile share of social media usage,83,percent,2026,Global,MEASURED,https://datareportal.com/reports/digital-2026-global-overview-report
US adults who use Instagram,50,percent,2025,US,MEASURED,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/
US adults 18-29 who use Instagram,80,percent,2025,US,MEASURED,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/
US adults 65+ who use Instagram,19,percent,2025,US,MEASURED,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/
Growth in US Instagram use 2021 to 2025,40,percent,2025,US,MEASURED,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/
Instagram monthly active users (third-party estimate),2400,million,2026,Global,MEASURED,https://businesstats.com/instagram-statistics/
Instagram daily active users (third-party estimate),1600,million,2026,Global,MEASURED,https://businesstats.com/instagram-statistics/
Instagram MAU YoY growth (third-party estimate),8,percent,2026,Global,MEASURED,https://businesstats.com/instagram-statistics/
Instagram monthly active users (alternate estimate),2000,million,2026,Global,MEASURED,https://backlinko.com/instagram-users
Instagram monthly active users (Meta CEO statement),3000,million,2025,Global,MEASURED,https://backlinko.com/instagram-users
