product,launch_date,ported_behavior,embedded_in_surface,leveraged_graph,adoption_milestone,verdict,source_url
Facebook Marketplace,2016-10,Y,Y,Y,1B+ monthly visitors,win,https://about.fb.com/news/2016/10/introducing-marketplace-buy-and-sell-with-your-local-community/
Instagram Stories,2016-08,Y,Y,Y,500M+ daily users by 2019,win,https://about.instagram.com/blog/announcements/instagram-stories
Facebook Live,2016-04,Y,Y,Y,Broad mainstream adoption,win,https://about.fb.com/news/2016/04/introducing-new-ways-to-create-share-and-discover-live-video-on-facebook/
Instagram Reels,2020-08,Y,Y,Y,Primary growth & engagement driver; 200B+ daily plays (2024),win,https://about.instagram.com/blog/announcements/introducing-instagram-reels-announcement
Threads,2023-07,Y,N,Y,100M signups in 5 days; ~300M+ MAU by 2025,win,https://about.fb.com/news/2023/07/introducing-threads-new-app-text-sharing/
Instagram IGTV,2018-06,Y,N,Y,Low adoption; app shut down 2021,killed,https://about.instagram.com/blog/announcements/welcome-to-igtv
Facebook Shops,2020-05,Y,Y,N,Mixed; in-app US checkout wound down 2023,mixed,https://about.fb.com/news/2020/05/introducing-facebook-shops/
Instagram Notes,2022-12,Y,Y,Y,Modest steady use in DM inbox,mixed,https://about.instagram.com/blog/announcements/new-ways-to-share-and-connect
Instagram Highlights,2017-12,Y,Y,Y,Wide adoption but a static archive often abandoned; demoted off-profile 2024-25,mixed,https://about.instagram.com/blog/announcements/introducing-stories-highlights-and-stories-archive
Broadcast Channels,2023-02,Y,Y,Y,Rolled out widely as creator one-to-many tool,mixed,https://about.instagram.com/blog/announcements/channels-creator-broadcast
Facebook Live Shopping,2018-08,Y,Y,Y,Discontinued on Facebook in 2022,killed,https://www.theverge.com/2022/8/16/23307123/facebook-live-shopping-feature-shut-down-october
Lasso,2018-11,Y,N,N,TikTok clone; shut down 2020,killed,https://techcrunch.com/2020/07/01/facebook-shuts-down-its-tiktok-clone-lasso/
Slingshot,2014-06,Y,N,N,Snapchat clone; shut down 2015,killed,https://techcrunch.com/2015/12/14/rip-slingshot/
Poke,2012-12,Y,N,N,Snapchat-style app; shut down 2014,killed,https://techcrunch.com/2014/05/09/facebook-poke-and-camera-apps-removed/
Horizon Worlds,2021-12,N,N,N,Low adoption; heavy Reality Labs losses,mixed,https://about.fb.com/news/2021/12/introducing-horizon-worlds/
