direction,factor,detail,type,source_url
help,Accountability lifts completion,"People are 65% more likely to hit a goal after committing to someone; with a deadline + regular progress sharing, success rises up to ~95%.",MEASURED,https://www.fastcompany.com/3047432/why-sharing-your-progress-makes-you-more-likely-to-accomplish-your-goals
help,Close ties work best,"Accountability research finds the partner should be a friend - exactly what a WhatsApp family/friends group is, unlike a public feed of strangers.",MEASURED,https://www.dataquest.io/blog/does-sharing-goals-help-or-hurt-your-chances-of-success/
help,Stickiest surface Meta owns,"WhatsApp's ~83% daily/monthly ratio makes it the highest-frequency retention surface in Meta's portfolio - a progress ping lands daily.",DERIVED,https://www.demandsage.com/whatsapp-statistics/
help,High-signal and private,"A group post carries relational weight and a ~98% open rate; an in-app feed update is passive by comparison.",DERIVED,https://wanotifier.com/whatsapp-statistics/
hinder,Announcement backfire (Gollwitzer),"Publicly announcing an identity goal can create a 'premature sense of completion' that REDUCES follow-through - a real risk for any 'share your goal' feature.",MEASURED,https://sloanreview.mit.edu/article/announcing-plans-may-kill-motivation-productivity/
hinder,Notification fatigue,"Automated 'X posted an update' pings into already-busy group chats (half of 150B daily messages) risk annoyance and muting.",DERIVED,https://www.infobip.com/blog/whatsapp-statistics
hinder,No discovery or virality,"WhatsApp is closed and encrypted - it can lift retention but does nothing for acquisition; there is no Explore-style growth loop here.",DERIVED,https://www.infobip.com/blog/whatsapp-statistics
hinder,US penetration gap,"Only ~100M US monthly users (~3% of global). In a US-first launch the WhatsApp lever is weak; its power is in India/Brazil/Indonesia.",MEASURED,https://sinch.com/blog/whatsapp-in-the-us-potential/
hinder,Opt-in dependency,"The whole mechanic hinges on opt-in rates; if few users connect a group, the retention multiplier never materializes.",DERIVED,https://www.demandsage.com/whatsapp-statistics/
condition,"Share progress, not announcements","Journeys' ongoing-update cadence sidesteps the Gollwitzer trap: it shares incremental progress, not a one-time identity declaration - which is the accountability-positive pattern.",DERIVED,https://www.dataquest.io/blog/does-sharing-goals-help-or-hurt-your-chances-of-success/
condition,Cap and mute notifications,"Keep group pings per-update, opt-in, and trivially mutable to avoid fatigue - the difference between a welcome nudge and a reason to leave the group.",DERIVED,https://www.infobip.com/blog/whatsapp-statistics
condition,Treat as retention and gate it,"Measure opt-in rate and its retention lift; deprioritize if it doesn't move retention - exactly the rollout's Phase 2 gate.",DERIVED,https://www.demandsage.com/whatsapp-statistics/
