fact,value,type,source_url
Highlights launch date,"December 5, 2017",MEASURED,https://about.instagram.com/blog/announcements/introducing-stories-highlights-and-stories-archive
Stated purpose,"Save expired Stories into permanent, named, themed collections under the bio to 'express more of who you are'",MEASURED,https://about.instagram.com/blog/announcements/introducing-stories-highlights-and-stories-archive
Reply mechanic,"Private DM replies only - no public likes, comments, or visible engagement counts",MEASURED,https://about.instagram.com/blog/announcements/introducing-stories-highlights-and-stories-archive
Businesses that use Story Highlights,"~60%",MEASURED,https://socialtradia.com/blog/number-of-instagram-highlights/
Influencer campaigns that use Highlights,"~26%",MEASURED,https://inbeat.agency/blog/instagram-statistics
General-user adoption of Highlights,"Not publicly reported by Meta",FLAGGED,https://about.instagram.com/blog/announcements/introducing-stories-highlights-and-stories-archive
Common makeshift use,"Users hand-curate Highlights as de-facto journeys: 'Marathon Training', 'Our Baby', 'Italy 2024'",DERIVED,https://about.instagram.com/blog/announcements/introducing-stories-highlights-and-stories-archive
Maintenance / abandonment,"Highlights are widely set-and-forget: Instagram may delete neglected ones, and outdated Highlights make a profile look inactive - even this low-effort format decays without upkeep",MEASURED,https://www.hollyland.com/blog/tips/instagram-highlights-delete-disappear-not-load
Highlights being demoted (2024-25),"Instagram is moving Highlights off prime under-bio real estate into a tab / the main grid; clicks and visibility expected to fall",MEASURED,https://piunikaweb.com/2025/09/12/instagram-highlights-moved-to-main-grid/
Instagram engagement trend,"Instagram engagement fell ~26% YoY (7.3% to 5.4%) - the sharpest drop among major platforms, though still above TikTok and Threads",MEASURED,https://www.emarketer.com/content/instagram-engagement-declines-social-media-fragments
