metric,value,unit,period,type,source_url
Ray-Ban Meta glasses sold (cumulative to Feb 2025),2,million,2023-10 to 2025-02,MEASURED,https://roadtovr.com/meta-ray-ban-smart-glasses-sales-tripled-2025/
Smart glasses sold (Meta + EssilorLuxottica),7,million,2025,MEASURED,https://www.uploadvr.com/meta-essilorluxottica-sold-7-million-smart-glasses-in-2025/
Global smart glasses market shipments,9.6,million,2025,MEASURED,https://roadtovr.com/meta-ray-ban-smart-glasses-sales-tripled-2025/
Global smart glasses market shipments (forecast),13.4,million,2026,MEASURED,https://roadtovr.com/meta-ray-ban-smart-glasses-sales-tripled-2025/
Meta share of global smart glasses shipments,76.1,percent,2025,MEASURED,https://roadtovr.com/meta-ray-ban-smart-glasses-sales-tripled-2025/
Reality Labs revenue YoY growth,74,percent,2025-Q3,MEASURED,https://roadtovr.com/meta-ray-ban-smart-glasses-sales-tripled-2025/
Glasses annual production target,20,million,2026,MEASURED,https://fintool.com/news/meta-ray-ban-glasses-20-million-production
Meta AI monthly active users,1000,million,2025-05,MEASURED,https://techcrunch.com/2025/05/29/meta-ai-now-has-1b-monthly-active-users/
Meta AI monthly active users,1200,million,2026-01,MEASURED,https://www.demandsage.com/meta-ai-users/
Meta AI monthly active users,213,million,2024-01,MEASURED,https://www.demandsage.com/meta-ai-users/
